µ [1/h]	RANDOMS_0	SINGLE_COFACTOR	WILDTYPE	RANDOMFIXED_0	FLEXIBLE
0,868	7,83	0,139	6,223	7,83	7,83
0,818	7,966	2,09	7,966	7,966	7,966
0,768	7,966	3,417	7,966	7,966	7,966
0,718	7,966	3,744	7,966	7,966	7,966
0,668	7,966	3,744	7,966	7,966	7,966
0,618	7,966	3,744	7,966	7,966	7,966
0,568	7,966	3,744	7,966	7,966	7,966
0,518	7,966	3,744	7,966	7,966	7,966
0,468	7,966	3,744	7,966	7,966	7,966
0,418	7,966	3,744	7,966	7,966	7,966
0,368	7,966	3,744	7,966	7,966	7,966
0,318	7,966	3,744	7,966	7,966	7,966
0,268	7,966	3,744	7,966	7,966	7,966
0,218	7,966	3,744	7,966	7,966	7,966
0,168	7,966	3,744	7,966	7,966	7,966
0,118	7,966	3,744	7,966	7,966	7,966
0,068	7,966	3,744	7,966	7,966	7,966
0,05	7,966	3,744	7,966	7,966	7,966
0,03	7,966	3,744	7,966	7,966	7,966
